Date du jour,Intervalle 15 min,IVRName,Nombre d'appels reçus,Appels Répondus,Appels Perdus,Durée totale d'appel,Durée moyenne d'appel,Taux de réponse
07/04/2026,15:30:00,Pôle FA - SALM AIRFORCE,1,1,0,1132,1132,"100,00%"
07/04/2026,18:00:00,Pôle FA - SALM AIRFORCE,1,1,0,105,105,"100,00%"
07/04/2026,18:15:00,Pôle FA - SALM AIRFORCE,1,0,1,573,573,"0,00%"
07/04/2026,18:45:00,Pôle FA - SALM AIRFORCE,1,1,0,409,409,"100,00%"
07/04/2026,10:15:00,unknown,1,1,0,41,41,"100,00%"
07/04/2026,17:00:00,unknown,1,1,0,41,41,"100,00%"
07/04/2026,10:30:00,Pôle FA - ROBLIN,1,1,0,249,249,"100,00%"
07/04/2026,10:45:00,Pôle FA - ROBLIN,1,1,0,790,790,"100,00%"
07/04/2026,14:30:00,Pôle FA - ROBLIN,1,0,1,278,278,"0,00%"
07/04/2026,14:45:00,Pôle FA - ROBLIN,1,1,0,920,920,"100,00%"
07/04/2026,15:00:00,Pôle FA - ROBLIN,1,1,0,861,861,"100,00%"
07/04/2026,12:30:00,Pôle FA - CHANGHONG,1,1,0,981,981,"100,00%"
07/04/2026,15:45:00,Pôle FA - CHANGHONG,1,0,1,610,610,"0,00%"
Total pour 07/04/2026,,,360,244,116,217774,604.93,"67,78%"
