"num_ticket","date_creation","status","reponse_client"
"COSPA-4651","2025-12-13 10:58:19","en cours","Non"
"COSPA-4650","2025-12-13 10:57:13","en cours","Non"
"COSPA-4649","2025-12-13 10:56:18","en cours","Non"
"COSPA-4572","2025-12-12 15:03:22","en attente","Non"
"COSPA-4569","2025-12-12 14:23:12","en attente","Non"
"COSPA-4459","2025-12-11 21:55:53","en attente","Non"
"COSPA-4458","2025-12-11 21:53:12","en cours","Non"
"COSPA-4455","2025-12-11 21:25:53","en attente","Non"
"COSPA-4450","2025-12-11 20:55:55","en attente","Non"
"COSPA-4448","2025-12-11 20:26:41","en cours","Non"
"COSPA-4441","2025-12-11 19:24:53","en attente","Non"
"COSPA-4435","2025-12-11 17:32:09","en attente","Non"
"COSPA-4428","2025-12-11 16:21:21","en attente","Non"
"COSPA-4409","2025-12-11 14:19:22","en cours","Non"
"COSPA-4402","2025-12-11 13:38:44","en attente","Non"
"COSPA-4377","2025-12-11 11:45:55","en cours","Non"
"COSPA-4375","2025-12-11 11:41:21","en cours","Non"
"COSPA-4369","2025-12-11 11:26:06","en attente","Non"
"COSPA-4359","2025-12-11 11:01:52","en attente","Non"
"COSPA-4354","2025-12-11 10:31:08","en attente","Non"
"COSPA-4349","2025-12-11 10:06:54","en attente","Non"
"COSPA-4475","2025-12-12 06:19:36","en cours","Non"
"COSPA-4481","2025-12-12 07:20:09","en attente","Non"
"COSPA-4557","2025-12-12 13:30:09","en attente","Non"
"COSPA-4556","2025-12-12 13:25:07","en cours","Non"
"COSPA-4549","2025-12-12 13:01:25","en attente","Non"
"COSPA-4527","2025-12-12 11:06:45","en attente","Non"
"COSPA-4526","2025-12-12 10:56:07","en attente","Non"
"COSPA-4524","2025-12-12 10:55:56","en attente","Non"
"COSPA-4517","2025-12-12 10:09:54","en attente","Non"
"COSPA-4515","2025-12-12 09:58:03","en attente","Non"
"COSPA-4511","2025-12-12 09:37:57","en cours","Non"
"COSPA-4507","2025-12-12 09:17:54","en attente","Non"
"COSPA-4500","2025-12-12 08:55:28","en cours","Non"
"COSPA-4496","2025-12-12 08:34:17","en attente","Non"
"COSPA-4495","2025-12-12 08:33:12","en cours","Non"
"COSPA-4491","2025-12-12 08:31:59","en cours","Non"
"COSPA-4483","2025-12-12 07:28:53","en attente","Non"
"COSPA-4482","2025-12-12 07:26:08","en attente","Non"
"COSPA-4348","2025-12-11 09:49:04","en cours","Non"
"COSPA-3971","2025-12-08 16:02:48","en attente","Non"
"COSPA-3596","2025-12-05 10:35:55","en cours","Non"
"COSPA-3482","2025-12-04 12:39:43","en attente","Non"
"COSPA-3480","2025-12-04 12:38:21","en attente","Non"
"COSPA-3478","2025-12-04 12:24:48","en attente","Non"
"COSPA-3468","2025-12-04 11:32:43","en attente","Non"
"COSPA-3460","2025-12-04 10:40:17","en attente","Non"
"COSPA-3458","2025-12-04 10:19:10","en cours","Non"
"COSPA-3453","2025-12-04 10:06:43","en cours","Non"
"COSPA-3438","2025-12-04 09:10:55","en cours","Non"
"COSPA-3435","2025-12-04 08:56:45","en attente","Non"
"COSPA-3434","2025-12-04 08:54:53","en attente","Non"
"COSPA-3424","2025-12-04 08:00:20","en attente","Non"
"COSPA-3422","2025-12-04 07:44:23","en attente","Non"
"COSPA-3408","2025-12-03 22:32:49","en cours","Non"
"COSPA-3396","2025-12-03 18:38:51","en attente","Non"
"COSPA-3396","2025-12-03 18:38:51","en attente","Non"
"COSPA-3395","2025-12-03 18:17:15","en cours","Non"
"COSPA-3488","2025-12-04 13:14:55","en attente","Non"
"COSPA-3500","2025-12-04 14:28:52","en attente","Non"
"COSPA-3592","2025-12-05 10:25:29","en cours","Non"
"COSPA-3587","2025-12-05 10:00:58","en cours","Non"
"COSPA-3581","2025-12-05 09:11:51","en attente","Non"
"COSPA-3577","2025-12-05 08:58:50","en attente","Non"
"COSPA-3571","2025-12-05 08:36:35","en cours","Non"
"COSPA-3571","2025-12-05 08:36:35","en cours","Non"
"COSPA-3567","2025-12-05 08:19:52","en attente","Non"
"COSPA-3561","2025-12-05 05:55:54","en attente","Non"
"COSPA-3556","2025-12-05 04:37:12","en cours","Non"
"COSPA-3545","2025-12-04 19:30:51","en cours","Non"
"COSPA-3543","2025-12-04 19:15:48","en attente","Non"
"COSPA-3542","2025-12-04 18:22:52","en attente","Non"
"COSPA-3541","2025-12-04 18:17:55","en cours","Non"
"COSPA-3533","2025-12-04 17:18:22","en attente","Non"
"COSPA-3519","2025-12-04 16:19:10","en cours","Non"
"COSPA-3518","2025-12-04 16:14:29","en cours","Non"
"COSPA-3381","2025-12-03 16:42:56","en cours","Non"
"COSPA-3379","2025-12-03 16:27:54","en attente","Non"
"COSPA-3294","2025-12-03 08:45:18","en attente","Non"
"COSPA-3284","2025-12-03 07:18:17","en attente","Non"
"COSPA-3267","2025-12-02 20:10:50","en attente","Non"
"COSPA-3266","2025-12-02 20:08:49","en attente","Non"
"COSPA-3254","2025-12-02 17:47:20","en cours","Non"
"COSPA-3248","2025-12-02 16:48:49","en attente","Non"
"COSPA-3247","2025-12-02 16:46:18","en cours","Non"
"COSPA-3243","2025-12-02 16:30:27","en cours","Non"
"COSPA-3239","2025-12-02 15:56:22","en cours","Non"
"COSPA-3238","2025-12-02 15:50:15","en cours","Non"
"COSPA-3236","2025-12-02 15:45:19","en attente","Non"
"COSPA-3234","2025-12-02 15:26:50","en cours","Non"
"COSPA-3232","2025-12-02 15:07:17","en attente","Non"
"COSPA-3227","2025-12-02 14:36:19","en attente","Non"
"COSPA-3220","2025-12-02 13:48:56","en attente","Non"
"COSPA-3219","2025-12-02 13:46:20","en attente","Non"
"COSPA-3296","2025-12-03 09:08:48","en attente","Non"
"COSPA-3298","2025-12-03 09:14:49","en attente","Non"
"COSPA-3377","2025-12-03 16:18:48","en cours","Non"
"COSPA-3370","2025-12-03 15:33:46","en attente","Non"
"COSPA-3369","2025-12-03 15:30:47","en attente","Non"
"COSPA-3358","2025-12-03 14:30:55","en cours","Non"
"COSPA-3357","2025-12-03 14:27:45","en attente","Non"
